iid,timestamp,comments,type,lon,lat,location,pid
1,5:45,,Accident,103.763696,1.312923,Clementi Ave 3,1
2,8:45,,Road Closure,103.87376,1.346472,Serangoon Ave 1,6
3,9:20,,Roadworks,103.800902,1.435547,Woodlands Ring Rd,5
4,9:45,,Breakdown,103.748057,1.416297,7 Sungei Kadut Street 3,4
5,10:20,,Heavy traffic,103.785128,1.355149,BKE,3
6,11:10,,Road Closure,103.768011,1.357763,Upper Bukit Timah Road,10
7,11:25,,Breakdown,103.789474,1.2960449,Ayer Rajah Crescent,12
8,11:45,,Breakdown,103.75661,1.351334,Bukit Batok East Ave 2,8
9,12:15,,Accident,103.891005,1.352947,Hougang Ave 3,2
10,13:45,,Road Closure,103.902193,1.33879,Bartley Rd East,11
11,14:15,,Heavy traffic,103.887254,1.315977,Sims Avenue,5
12,15:20,,Breakdown,103.917465,1.307292,Marine Parade Rd,4
13,15:45,,Heavy traffic,103.8085672,1.3257813,Dunearn Rd,9
14,16:00,,Accident,103.839026,1.313344,Newton Flyover,7
15,16:15,,Breakdown,103.797956,1.313005,Holland Road,3
16,16:50,,Heavy traffic,103.797956,1.313005,Holland Road,10
17,17:15,,Roadworks,103.807725,1.317494,Farrer Road,5
18,17:35,,Breakdown,103.80125,1.335835,Eng Neo Avenue,8
19,17:45,,Roadworks,103.771334,1.374602,Petir Road,3
20,17:55,,Breakdown,103.90571,1.326104,PIE,2
21,18:15,,Accident,103.7994,1.456481,Admiralty Road West,12
22,18:30,,Roadworks,103.814294,1.413803,Mandai Avenue,10
23,18:48,,Breakdown,103.828509,1.372933,Upper Thomson Road,11
24,19:00,,Roadworks,103.848475,1.371587,Ang Mo Kio Avenue 8,4
25,19:06,,Accident,103.840042,1.351798,Marymount Road,1
26,19:20,,Breakdown,103.878781,1.331138,Macpherson Road,9
27,19:32,,Heavy traffic,103.865714,1.309049,Kallang Road,4
28,19:45,,Roadworks,103.849592,1.292307,Hill Street,2
29,19:55,,Heavy traffic,103.837456,1.295431,River Valley Road,6
30,20:00,,Road Closure,103.819178,1.301823,Tanglin Road,8
31,20:16,,Roadworks,103.829738,1.313037,Stevens Road,1
32,20:30,,Heavy traffic,103.817937,1.33409,Lornie Highway,11
33,20:35,,Heavy traffic,103.842089,1.302024,CTE,6
34,20:45,,Road Closure,103.794582,1.319854,Coronation Road West,8
35,20:45,,Roadworks,103.775053,1.320519,Ulu Pandan Road,7
36,20:53,,Breakdown,103.772215,1.313547,Clementi Road,9
37,20:55,,Roadworks,103.756977,1.313879,West Coast Highway,6
38,21:00,,Road Closure,103.746651,1.394465,Choa Chu Kang Drive,3
39,21:15,,Roadworks,103.753892,1.381212,Teck Whye Avenue,1
40,21:18,,Heavy traffic,103.785128,1.355149,BKE,5
41,21:30,,Road Closure,103.774143,1.364739,Dairy Farm Road,9
42,21:45,,Road Closure,103.758842,1.335837,Toh Tuck Flyover,11
43,21:50,,Heavy traffic,103.746092,1.323244,AYE,12
44,21:50,,Heavy traffic,103.820553,1.451486,Canberra Road,3
45,21:55,,Heavy traffic,103.816548,1.448524,Sembawang Way,6
46,22:00,,Road Closure,103.798413,1.448243,Woodlands Avenue 9,4
47,22:05,,Heavy traffic,103.767954,1.41834,Turf Club Avenue,5
48,22:10,,Heavy traffic,103.771011,1.377848,Bukit Panjang Road,9
49,23:20,,Road Closure,103.738437,1.373878,Brickland Road,3
50,23:30,,Road Closure,103.70896,1.33465,Jalan Boon Lay,1
